Title,Authors,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A Comparison of Size Structure, Age, and Growth of Red Snapper from Artificial and Natural Habitats in the Western Gulf of Mexico.","Streich, Matthew K.; Ajemian, Matthew J.; Wetz, Jennifer J.; Williams, Jason A.; Shipley, J. Brooke; Stunz, Gregory W.",Transactions of the American Fisheries Society,28487,,Jul-17,146,4,762,16,123673487,10.1080/00028487.2017.1308884,Taylor & Francis Ltd,Article,"Comparative studies; Mexico, Gulf of; Bight redfish; Size of fishes; Fish habitat; Fish age",,"Red SnapperLutjanus campechanussupport economically important fisheries in the Gulf of Mexico (GOM) and have been classified as overfished since the first stock assessment was conducted in 1988. Although the stock is now showing signs of recovery, management could benefit from a better understanding of regional or even habitat-level differences in stock demographics, as these dynamics ultimately determine overall stock productivity. From 2012 to 2014, we used a fishery-independent vertical line survey to assess Red Snapper relative abundance, size and age structure, and growth parameters at standing oil and gas platforms, decommissioned platform artificial reefs, and natural banks in the western GOM. We captured 1,170 Red Snapper ranging from 275 to 855 mm TL. Vertical line CPUE data showed no differences among the three habitat types. Ages determined for 1,143 individuals ranged from 2 to 30 years; however, most (90%) were younger than age 8. Size and age frequencies revealed that natural banks supported a greater proportion of large and relatively old fish compared to standing platforms or artificial reefs, although this difference was heavily influenced by a single bank that had significantly larger and older Red Snapper than other sites. Mean age was not significantly different among habitat types. Among a suite of growth models fitted to size-at-age data, the logistic model provided the best fit and suggested that fish from artificial reefs reached larger sizes at age than fish from either standing platforms or natural banks. Our study provides the first estimates of habitat-specific growth parameters for Red Snapper in the western GOM, and this information can benefit future stock assessments. This study also highlights the potential benefits of artificial reefs to Red Snapper and indicates that all habitats could contribute similarly to stock productivity on a per-unit-area basis. Received December 21, 2016; accepted March 14, 2017 Published online May 26, 2017",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=123673487&site=ehost-live
"Age Composition, Growth, and Density-Dependent Mortality in Juvenile Red Snapper Estimated from Observer Data from the Gulf of Mexico Penaeid Shrimp Fishery.","GAZEY, WILLIAM J.; GALLAWAY, BENNY J.; COLE, JOHN G.; FOURNIER, DAVID A.",North American Journal of Fisheries Management,2755947,,Dec-08,28,6,1828,15,36871572,10.1577/M07-216.1,Taylor & Francis Ltd,Article,"Fisheries; Bycatches (Fisheries); Fish populations; Mexico, Gulf of; Finfish Farming and Fish Hatcheries; Lutjanus campechanus; Mortality",,"Beginning in May 1998, the National Marine Fisheries Service has required that bycatch reduction devices be installed in penaeid shrimp trawl gear in the Gulf of Mexico. Changes in observer protocols were introduced, one of which was that all of the red snapper Lutjanus campechanus collected would be enumerated and measured when possible. This change has yielded catch and length information from the Gulf of Mexico shrimp fishery. To date, however, an integrated approach to determining the age composition, growth, and mortality of juvenile red snapper has not been attempted. To address this problem, we constructed a length-based, age-structured model to objectively estimate the growth and mortality parameters and age composition of the shrimp trawl bycatch of red snapper in the western Gulf of Mexico from 81 monthly length frequency data sets (a total of 239,521 fish were measured) from July 1999 to February 2007. Our modeling strategy was to make simple and straightforward representations of the deviations in growth from the mean trend, partial recruitment, density-dependent mortality, and population dynamics. Bayesian parameter estimation was accomplished by calculating the mode of the posterior distribution. Important findings of this paper include (1) the shrimp trawl bycatch during the first and third trimesters is dominated (86-87%) by age-0 fish, (2) the growth patterns of age-0 and age-1 red snapper suggest that the fish form an opaque annulus in winter months, (3) the natural mortality of age-0 fish appears to be about double (a minimum 70% increase) the value used in the last stock assessment, and (4) the evidence for density-dependent juvenile mortality is overwhelming. Inclusion of these findings in the red snapper stock assessment has the potential to substantially alter management practices.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=36871572&site=ehost-live
Comment: Accounting for Fishing Mortality When Comparing Density-Dependent with Density-Independent Mortality in Gulf of Mexico Red Snapper.,"Vincent, Matthew T.",North American Journal of Fisheries Management,2755947,,2014,34,2,349,3,95661044,10.1080/02755947.2013.862191,Taylor & Francis Ltd,Article,"Fish populations; MATHEMATICAL models; Mexico, Gulf of; Lutjanus campechanus; Akaike information criterion; Mortality",,"In this article, the author investigates the potential for density dependent total mortality to act on the population of juvenile Red Snapper in the western Gulf of Mexico. Topics discussed include comparison of two density-dependent total mortality models and a density-independent total mortality model using length frequency and the models compared using the Akaike information criterion. It reveals that the density-dependent mortality plays vital role in population dynamics of Red Snapper.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=95661044&site=ehost-live
Commodity price volatility under regulatory changes and disaster.,"Marvasti, Akbar; Lamberte, Antonio",Journal of Empirical Finance,9275398,,Sep2016 Part A,38,,355,7,118025815,10.1016/j.jempfin.2016.07.008,Elsevier B.V.,Article,Prices; Volatility (Finance); Shock (Economics); Economic impact; Information theory in economics; Assets (Accounting) -- Sales & prices,C22; C52; Disaster; GARCH; Price volatility; Q22; Regulatory change; Time series,"We find that the EGARCH model best describes the dynamics of U.S. Gulf of Mexico red snapper daily dockside prices and find their reaction to shocks to be asymmetric, though news has an impact on volatility level in a direction contrary to that of financial asset prices. We also find that volume contains useful information for predicting volatility. However, unlike financial asset prices, though consistent with fish commodities prices, red snapper price volatility diminishes when the volume is high. Also, the effect of expected changes on transaction volume is more dominant than that of unexpected changes. Explicitly accounting for oil spill closures and the Individual Fishing Quotas (IFQ) program in other species as variance shift parameters significantly reduces volatility and improves the market efficiency response to shocks.",http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=118025815&site=ehost-live
Comparison of Harvest Control Policies for Rebuilding Overfished Populations within a Fixed Rebuilding Time Frame.,"Babcock, Elizabeth A.; McAllister, Murdoch K.; Pikitch, Ellen K.",North American Journal of Fisheries Management,2755947,,Nov-07,27,4,1326,17,28560179,10.1577/M06-124.1,Taylor & Francis Ltd,Article,"Harvesting; Fish populations; Fishery law & legislation; White marlin; Sandbar shark; Fishing; United States; All Other Amusement and Recreation Industries; Finfish Farming and Fish Hatcheries; Support activities for crop production; Crop Harvesting, Primarily by Machine; Finfish Fishing; Swordfish; Lutjanus campechanus; Striped bass",,"U.S. law requires that overfished fish populations be rebuilt within 10 years when biologically possible, and otherwise within the time it would take to rebuild in the absence of fishing plus one mean generation time (MGT). Most overfished populations can recover in less than 10 years; the exceptions are populations with very low productivity and some that are severely depleted. A range of harvest control policies, including constant fishing mortalities and variable harvest rate control rules, were compared in terms of their ability to rebuild overfished populations of five species within the required times. The North Atlantic swordfish Xiphias gladius and Gulf of Mexico red snapper Lutjanus campechanus populations were able to rebuild in 10 years, but the white marlin Tetrapturus albidus, sandbar shark Carcharhinus plumbeus, and darkblotched rockfish Sebastes crameri populations were not. The harvest policy that resulted in populations being rebuilt most rapidly was either a control rule that reduced fishing mortality with decreasing biomass or a constant harvest rate designed to meet the current rebuilding time requirement. The control rules we analyzed restricted catches at the beginning of the rebuilding period but allowed catches to increase rapidly as the population was rebuilt. Thus, there was a trade-off between relatively high catches early in the rebuilding period and high catches later in the rebuilding period when the population had been rebuilt and could sustain high catches. Whether the population was rebuilt more rapidly under a fixed rebuilding-time requirement or a control rule depended on the productivity of the population.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=28560179&site=ehost-live
Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico.,"Jaxion-Harm, J.; Szedlmayer, S. T.",North American Journal of Fisheries Management,2755947,,Feb-15,35,1,86,11,101348929,10.1080/02755947.2014.982332,Taylor & Francis Ltd,Article,"Artificial reefs; Fish populations; Mexico, Gulf of; Lutjanus campechanus; Geographical distribution of fishes",,"The Red SnapperLutjanus campechanusis a highly exploited commercial and recreational species that dominates the artificial reef systems in the northern Gulf of Mexico. Off coastal Alabama there are few natural reefs, but in the last 50 years government programs and private fishers have placed numerous artificial reefs in the northeast Gulf of Mexico with the goal of increasing fisheries production. We examined the effects of artificial reef depth and reef type on Red Snapper densities and size distributions. We used hook-and-line, fish trap, and scuba visual surveys to estimate Red Snapper densities on four types of artificial reefs: army tanks, pyramids, small reefs (e.g., metal cages, pipelines), and large reefs (e.g., ships, dry docks, oil platforms). Small Red Snapper (<33 cm TL) were significantly more abundant at shallower depths (<35 m) and on small artificial reefs. Army tanks showed significantly more large fish (>33 cm TL) at shallow sites (<35 m) than at deeper sites (>35 m); in contrast, pyramids showed significantly more large fish at deeper sites. Ontogenetic habitat shift and fishing mortality were the most likely factors that would explain these Red Snapper distributions. Worldwide, artificial reefs are being used to enhance fishery resources and for habitat restoration. We document the importance of reef design and deployment location for Red Snapper, as well as the need for future artificial reef deployments to consider the relevant variables that affect the species that managers are attempting to enhance. Received May 4, 2014; accepted October 20, 2014",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=101348929&site=ehost-live
Determining policy-efficient management strategies in fisheries using data envelopment analysis (DEA),"Griffin, Wade L.; Woodward, Richard T.",Marine Policy,0308597X,,Jul-11,35,4,496,12,58750954,10.1016/j.marpol.2010.12.003,Elsevier Science,Article,Fisheries; Fishery policy; Fish populations; Fishery management; Overfishing; Finfish Farming and Fish Hatcheries; Administration of Conservation Programs; All Other Amusement and Recreation Industries; Data envelopment analysis; Lutjanus campechanus; Fish mortality; Recreation -- Management,Economics; Policy,"Abstract: In this paper, the authors analyze a wide range of recreational management strategies for their impacts on red snapper yield, economic surplus and the fish stock. Simulating a wide range of policies, the authors find Data Envelopment Analysis (DEA) inspired policy efficiency frontiers that lead to finding those management strategies that offer the greatest level of economic surplus for any biological target, looking at both the east and west Gulf of Mexico fisheries. Red snapper has been declared overfished since 1988 and the 2005 SEDAR 7 stock assessment declared red snapper were overfished and undergoing overfishing. In November 2009, the update of the assessment declared that overfishing was no longer occurring but that the red snapper stocks needed to be rebuilt. In this analysis, it was found that red snapper are neither overfished or undergoing overfishing. The main difference between the present model and the SEDAR 7 model is that the latest model uses a higher mortality rate for juveniles and a density dependent model. The authors also suggest that the east and west should be managed as separate units.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=58750954&site=ehost-live
Diet shifts of juvenile red snapper (Lutjanus campechanus) with changes in habitat and fish size.,"Szedlmayer, Stephen T.; Lee, Jason D.",Fishery Bulletin,900656,,Apr-04,102,2,366,10,14252249,,National Oceanic & Atmospheric Administration,Article,Lutjanus; Predation (Biology); Fish food; Other Animal Food Manufacturing; Lutjanus campechanus; Fish habitat,,"We examined the diets and habitat shift of juvenile red snapper (Lutjanus campechanus) in the northeast Gulf of Mexico. Fish were collected from open sand-mud habitat (little to no relief), and artificial reef habitat (1-m³ concrete or PVC blocks), from June 1993 through December 1994. In 1994, fish settled over open habitat from June to September, as shown by trawl collections, then began shifting to reef habitat--a shift that was almost completed by December as observed by SCUBA visual surveys. Stomachs were examined from 1639 red snapper that ranged in size from 18.0 to 280.0 mm SL. Of these, 850 fish had empty stomachs, and 346 fish from open habitat and 443 fish from reef habitat contained prey. Prey were identified to the lowest possible taxon and quantified by volumetric measurement. Specific volume of particular prey taxa were calculated by dividing prey volume by individual fish weight. Red snapper shifted diets with increasing size. Small red snapper (<60 mm SL) fed mostly on chaetognaths, copepods, shrimp, and squid. Large red snapper (60-280 mm SL) shifted feeding to fish prey, greater amounts of squid and crabs, and continued feeding on shrimp. We compared red snapper diets for overlapping size classes (70-160 mm SL) of fish that were collected from both habitats (Bray-Curtis dissimilarity index and multidimensional scaling analysis). Red snapper diets separated by habitat type rather than fish size for the size ranges that overlapped habitats. These diet shifts were attributed to feeding more on reef prey than on open-water prey. Thus, the shift in habitat shown by juvenile red snapper was reflected in their diet and suggested differential habitat values based not just on predation refuge but food resources as well.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=14252249&site=ehost-live
Estimating Recreational Effort in the Gulf of Mexico Red Snapper Fishery Using Boat Ramp Cameras: Reduction in Federal Season Length Does Not Proportionally Reduce Catch.,"Powers, Sean P.; Anson, Kevin",North American Journal of Fisheries Management,2755947,,Oct-16,36,5,1156,11,118485054,10.1080/02755947.2016.1198284,Taylor & Francis Ltd,Article,"Lutjanus; Effort in fisheries; Fish populations; Anglerfishes; Mexico, Gulf of; Administration of Conservation Programs; Boat ramps; Meteorological research",,"Estimating fishing effort is of critical importance in assessing population trends of exploited species. We used video camera footage collected by surveillance cameras to estimate effort during the federal recreational seasons for Red SnapperLutjanus campechanusduring 2012–2015 in coastal Alabama. For 2012 (40 d in duration) and 2013 (28 d in duration), we randomly sampled 20% of days within the season and counted the number of boats launched and number of potential anglers (total number of people) on each vessel during randomly chosen 5-min blocks of time during each daylight or dusk hour. For 2014 and 2015, the seasons were considerably shorter, 9 and 10 d, respectively, and we were able to count the number of boats launched and potential anglers during randomly chosen 5-min intervals every daylight or dusk hour of each day. Using hourly weather observations (wind and precipitation), day of the week (weekend versus weekday), boat launch site, and year, general linear models were constructed to predict potential Red Snapper anglers per hour. For all years combined, the model had anR2of 0.62, with a higherR2(0.71) for the same variables using just 2014 and 2015 data. Applying the model, we were able to predict total offshore anglers by summing the hourly predictions over the season. We then estimated total number and weight of Red Snapper harvested for this group of anglers. Reductions in season length were not proportional to catch reductions due to changes in angler behavior. Red Snapper catch (in pounds) were reduced by 26% with a 75% reduction in season length. Our findings demonstrate the utility of dockside cameras for estimating marine recreational fishing effort and demonstrate the nonstatic response of anglers to management changes. Received October 28, 2015; accepted May 25, 2016",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=118485054&site=ehost-live
Evaluating the Performance of Vertical Longlines to Survey Reef Fish Populations in the Northern Gulf of Mexico.,"Gregalis, Kevan C.; Schlenker, Lela S.; Drymon, J. Marcus; Mareska, John F.; Powers, Sean P.",Transactions of the American Fisheries Society,28487,,Nov-12,141,6,1453,12,85587878,10.1080/00028487.2012.703154,Taylor & Francis Ltd,Article,"Reef fishes; Fish populations; Mexico, Gulf of; Longlines (Fishery equipment); Lutjanus campechanus",,"A common critique of many stock assessments is the lack of fishery-independent abundance indices and age composition data. Such data streams are essential in evaluating population trajectories that are derived largely from harvest and age composition of landings. For example, high scientific uncertainty in the most recent stock assessment of Gulf of Mexico red snapperLutjanus campechanusresulted from a conflict between trends in fishery-dependent and fishery-independent data. Because sample sizes for the latter data were an order of magnitude lower, resolution of the conflicting trends was even more problematic. Recognizing the need for cost-effective expansion of fishery-independent data in the region, we evaluated the performance of vertical longline surveys for sampling reef fish within a large artificial reef zone in the northern Gulf of Mexico. Specifically, we (1) determined species composition and the length frequency of red snapper (the dominant species captured) as a function of hook size and bait type within our survey area during 2010; (2) evaluated the effect of different soak times on catch for various hook types (a combination of hook size and bait type); and (3) utilized our results to test the effect of artificial reef type on red snapper CPUE and mean size. During March–November 2010, we conducted 532 vertical longline sets, capturing 1,217 red snapper that ranged from 184 to 827 mm FL. Mean FL of red snapper differed among hook sizes, with 3/0 and 8/0 hooks sampling smaller fish than 11/0 hooks. Soak time trials revealed a significant effect of soak time on CPUE, with peak catch rates observed at 5 min. As habitat area increased, the mean size and CPUE of red snapper increased. We conclude that our vertical longline is an effective gear for sampling red snapper, and we recommend protocols to maximize its utility and standardize its use. Received October 11, 2011; accepted June 5, 2012",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=85587878&site=ehost-live
