Title,Authors,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
A cage release method to improve fish tagging studies.,"Williams, Laura Jay; Herbig, Jennifer L.; Szedlmayer, Stephen T.",Fisheries Research,01657836,,Dec2015,172,,125,5,109395960,10.1016/j.fishres.2015.06.030,Elsevier Science,Article,"Fish tagging; Reef fishes; Mexico, Gulf of; Fish mortality; Underwater acoustic telemetry",Acoustic telemetry; Barotrauma; Predator protection; Release mortality,"The return and survival of tagged fish to their depth of capture has proved difficult due to barotrauma and predation in previous telemetry studies. Tagging stress can slow and disorient the fish upon release, and reduce the ability to return to depth, relocate their home habitat site, and evade predators. To reduce these initial tag and release artifacts we designed and tested a remotely opening cage for use with reef fish in the northern Gulf of Mexico. Our objectives were to quickly return transmitter tagged fish to depth (20–30 m) in close proximity (<10 m) to their capture site, and to increase survival by providing predator protection during an initial recovery period. This cage release method proved successful for both red snapper ( Lutjanus campechanus ; n = 62 out of 71, 87%) and all gray triggerfish ( Balistes capriscus ; n = 24) that were tagged and released on artificial reefs. All tagged fish were released from November 2012 to September 2014, no initial tag induced mortalities were observed, and after tagging fish were successfully tracked for extended periods (for the entire 2 year study period).",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=109395960&site=ehost-live
"A Comparison of Size Structure, Age, and Growth of Red Snapper from Artificial and Natural Habitats in the Western Gulf of Mexico.","Streich, Matthew K.; Ajemian, Matthew J.; Wetz, Jennifer J.; Williams, Jason A.; Shipley, J. Brooke; Stunz, Gregory W.",Transactions of the American Fisheries Society,00028487,,Jul2017,146,4,762,16,123673487,10.1080/00028487.2017.1308884,Taylor & Francis Ltd,Article,"Comparative studies; Mexico, Gulf of; Bight redfish; Size of fishes; Fish habitat; Fish age",,"Red SnapperLutjanus campechanussupport economically important fisheries in the Gulf of Mexico (GOM) and have been classified as overfished since the first stock assessment was conducted in 1988. Although the stock is now showing signs of recovery, management could benefit from a better understanding of regional or even habitat-level differences in stock demographics, as these dynamics ultimately determine overall stock productivity. From 2012 to 2014, we used a fishery-independent vertical line survey to assess Red Snapper relative abundance, size and age structure, and growth parameters at standing oil and gas platforms, decommissioned platform artificial reefs, and natural banks in the western GOM. We captured 1,170 Red Snapper ranging from 275 to 855 mm TL. Vertical line CPUE data showed no differences among the three habitat types. Ages determined for 1,143 individuals ranged from 2 to 30 years; however, most (90%) were younger than age 8. Size and age frequencies revealed that natural banks supported a greater proportion of large and relatively old fish compared to standing platforms or artificial reefs, although this difference was heavily influenced by a single bank that had significantly larger and older Red Snapper than other sites. Mean age was not significantly different among habitat types. Among a suite of growth models fitted to size-at-age data, the logistic model provided the best fit and suggested that fish from artificial reefs reached larger sizes at age than fish from either standing platforms or natural banks. Our study provides the first estimates of habitat-specific growth parameters for Red Snapper in the western GOM, and this information can benefit future stock assessments. This study also highlights the potential benefits of artificial reefs to Red Snapper and indicates that all habitats could contribute similarly to stock productivity on a per-unit-area basis. Received December 21, 2016; accepted March 14, 2017 Published online May 26, 2017",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=123673487&site=ehost-live
A Life History Review for Red Snapper in the Gulf of Mexico with an Evaluation of the Importance of Offshore Petroleum Platforms and Other Artificial Reefs.,"Gallaway, Benny J.; Szedlmayer, Stephen T.; Gazey, William J.",Reviews in Fisheries Science,10641262,,Jan-Mar2009,17,1,48,20,66905486,10.1080/10641260802160717,Taylor & Francis Ltd,Article,"Artificial reefs; Drilling platforms; Life cycles (Biology); Mexico, Gulf of; Ship Building and Repairing; Lutjanus campechanus",artificial reefs; density-dependent mortality; life history; oil and gas platforms; red snapper,"Red snapper mature as early as age 2, have high fecundity (a 10-year-old female produces 60 million eggs per year), and may live for over 50 years. Eggs, larvae, and post-settlement juveniles typically show high rates of natural mortality. For example, of the 60 million eggs produced annually by a 10-year-old female, only about 450 would survive to 5 cm, the size at which they enter the shrimp fishery. Changes in abundance by size and age appear to be consistent with density dependence in survival rate from ages 0 to 1 and likely ages 0 to 2. Red snapper are attracted to structure or reef habitat at all ages, but larger, older fish also occur over open habitat once they have reached a size that renders them largely invulnerable to predation. Artificial reefs comprise a small fraction of the overall high-relief reef habitat, but harbor a large fraction of the present-day age 2 red snapper populations. Prior to the proliferation of artificial reefs in the northern Gulf, age 2 red snapper may have historically occurred mainly over open-bottom, sand-mud benthic habitat where natural and shrimp trawl bycatch mortality was high. Age 2 fish dominate red snapper populations at artificial reefs, whereas the age composition of red snapper at natural reefs usually show older ages are dominant. The present day red snapper fishery is heavily dependent on catches at artificial reefs. Evidence is presented that suggests red snapper production in the northern Gulf likely has been increased by the establishment of significant numbers of artificial reefs.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=66905486&site=ehost-live
A Perspective of the Importance of Artificial Habitat on the Management of Red Snapper in the Gulf of Mexico.,"Shipp, Robert L.; Bortone, Stephen A.",Reviews in Fisheries Science,10641262,,Jan-Mar2009,17,1,41,7,66905485,10.1080/10641260802104244,Taylor & Francis Ltd,Article,"Fishery management; Overfishing; Artificial reefs; Habitat (Ecology); Mexico, Gulf of; Finfish Farming and Fish Hatcheries; Lutjanus campechanus",artificial habitat; management; overfishing; red snapper,"The Gulf of Mexico red snapper fishery has been declared as overfished, and overfishing is occurring. More stringent regulations, including reduced catch quotas and restrictions on the shrimp fishery to reduce bycatch of juvenile snappers, are anticipated. However, with projected rebuilding, maximum sustainable yield (MSY) is estimated to be between 11 and 25 million pounds. This exceeds previously recorded annual yields from U.S. Gulf waters. The fishery began during the mid 19th century off the northeastern Gulf coast, with harvests of only about 2 million pounds. Even at this rate, the stocks were depleted rapidly, and the fleets moved further south and east to find new sources. Numerous exploratory cruises to the western Gulf in the late 19th century found minimal snapper populations, but high concentrations discovered off Vera Cruz, Mexico, attracted fishers, and this area was the major source of snappers for more than a century. The deployment of petroleum structures in the mid 20th century in the western Gulf and thousands of artificial reefs in the north-central Gulf have markedly increased red snapper habitat in those areas. Currently, snapper populations around artificial reefs in the north-central and northwestern Gulf support the majority of the U.S. harvest. If habitat is limiting, the designations of ""overfishing"" and ""overfished"" may be misleading, and ""unrealized harvest potential"" may be a more accurate descriptor of the current status of the stock given the increased presence of additional habitat for red snapper. Decreases in these artificial structures (owing to natural degradation or removal) may decrease future harvest potential.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=66905485&site=ehost-live
A Study of Some Problems in Network Information Theory,"Kamath, Sudeep Uday",ProQuest LLC,ERICRIE0,,20130101,,,,79,ED567585,,,Dissertations/Theses - Doctoral Dissertations,Information Networks; Information Theory; Foreign Countries; Ichthyology; Multivariate Analysis; Spectroscopy; Animals; Dietetics; Ecology; Physical Environment; Marine Biology; Fuels; Accidents,,"Red snapper, ""Lutjanus campechanus,"" were sampled with hook and line at natural (n = 33) and artificial (n = 27) reef sites in the northern Gulf of Mexico from 2009-2011. Stomachs (n = 708) were extracted and their contents preserved for gut content analysis, and muscle tissue samples (n = 200) were dissected and frozen for stable isotope ratio-mass spectrometry (delta[superscript 13]C, delta[superscript 15]N, and delta[superscript 34]S) analysis. Forty-eight percent of sampled fish had identifiable prey which were grouped into 7 categories: fish, decapods, cephalopods, stomatopods, gastropods, zooplankton, and other invertebrates. A permutational multivariate analysis of variance (PERMANOVA) was computed to test the effect of fish size, habitat type, and the Deepwater Horizon Oil Spill (DHOS) on red snapper diet. Fish size (PERMANOVA, p = 0.021), and the DHOS (PERMANOVA, p = 0.001) were both significant effects in the model, but interactions between habitat type and the DHOS (PERMANOVA, p = 0.049) was also significant. Significant differences in diet among red snapper size categories were due to low trophic position prey items, such as pelagic zooplankton, being more abundant in the diet of larger (>500mm) red snapper, while red snapper in smaller size classes contained greater amounts of higher trophic level prey such decapods and fish. Although no significant difference existed in red snapper diet between habitat types, they consumed slightly higher amounts of decapods at artificial reefs (21.9% of total diet) than natural (14.8%). The significant DHOS effect was driven by an increase in fish and a decrease in zooplankton in red snapper diet following the spill; however, this effect cannot be interpreted independently given the significant interaction between habitat type and the DHOS effect. Zooplankton prey consumption declined and fish consumption increased for red snapper sampled at both artificial and natural reefs after the DHOS, but fish consumption increased to a greater extent at artificial reef sites following the spill. A significant increase in delta[superscript 15]N after the DHOS (ANOVA, p <0.001) also indicates red snapper sampled fed on higher trophic position prey following the spill, and lower delta[superscript 34]S values indicate an increase in benthic versus pelagic prey consumption following the DHOS (ANOVA, p <0.001). The ontogenetic shift in diet observed via gut content analysis was also apparent in the significant effect of fish size on delta[superscript 15]N (ANOVA, p = 0.015). Overall, results clearly indicate the DHOS affected red snapper diet and trophic position, and likely affected the abundance of prey resources as well. Study results also confirm the utility of stable isotope analysis to infer aspects of reef fish trophic ecology. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]",http://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=ED567585&site=ehost-live
An Analysis of Artificial Reef Fish Community Structure along the Northwestern Gulf of Mexico Shelf: Potential Impacts of “Rigs-to-Reefs” Programs.,"Ajemian, Matthew J.; Wetz, Jennifer J.; Shipley-Lozano, Brooke; Shively, J. Dale; Stunz, Gregory W.",PLoS ONE,19326203,,May2015,10,5,1,22,102970286,10.1371/journal.pone.0126354,Public Library of Science,Article,"REEF fishes; FISH communities; MARINE habitats; FISH diversity; HERBIVORES; MEXICO, Gulf of",Research Article,"Artificial structures are the dominant complex marine habitat type along the northwestern Gulf of Mexico (GOM) shelf. These habitats can consist of a variety of materials, but in this region are primarily comprised of active and reefed oil and gas platforms. Despite being established for several decades, the fish communities inhabiting these structures remain poorly investigated. Between 2012 and 2013 we assessed fish communities at 15 sites using remotely operated vehicles (ROVs). Fish assemblages were quantified from standing platforms and an array of artificial reef types (Liberty Ships and partially removed or toppled platforms) distributed over the Texas continental shelf. The depth gradient covered by the surveys (30–84 m) and variability in structure density and relief also permitted analyses of the effects of these characteristics on fish richness, diversity, and assemblage composition. ROVs captured a variety of species inhabiting these reefs from large transient piscivores to small herbivorous reef fishes. While structure type and relief were shown to influence species richness and community structure, major trends in species composition were largely explained by the bottom depth where these structures occurred. We observed a shift in fish communities and relatively high diversity at approximately 60 m bottom depth, confirming trends observed in previous studies of standing platforms. This depth was also correlated with some of the largest Red Snapper captured on supplementary vertical longline surveys. Our work indicates that managers of artificial reefing programs (e.g., Rigs-to-Reefs) in the GOM should carefully consider the ambient environmental conditions when designing reef sites. For the Texas continental shelf, reefing materials at a 50–60 m bottom depth can serve a dual purpose of enhancing diving experiences and providing the best potential habitat for relatively large Red Snapper.",http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=102970286&site=ehost-live
"Artificial reef to benefit habitat, anglers","Sneath, Sara",Victoria Advocate (TX),,,14-Jun-16,,,,,2W6542974514,,,Article,,,,http://search.ebscohost.com/login.aspx?direct=true&db=nfh&AN=2W6542974514&site=ehost-live
Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, J.R.; Landry Jr., A.M.; Geary, B.W.; Harper, J.A.",Estuarine Coastal & Shelf Science,02727714,,Apr2004,59,4,653,9,12311606,10.1016/j.ecss.2003.11.009,Academic Press Inc.,Article,Seashore; Lutjanus campechanus; Artificial substrates (Aquatic biology); Otoliths,barrier reef; bathymetric high; mortality; nursery ground; red snapper; shell bank; growth,"Trawl surveys were conducted in 2000 and 2001 to examine patterns of distribution and abundance of postsettlement red snapper (Lutjanus campechanus) on a shell bank, Freeport Rocks Bathymetric High (FRBH), in the northwestern Gulf of Mexico. In addition, otolith-based methods were used to determine age, hatch-date, growth and mortality of new recruits associated with FRBH. Date and region were significant factors affecting density of red snapper in 2000. Peak densities of red snapper were observed in July and August, and mean density among habitat types (shell bank, inshore mud, offshore mud) was similar (range: 50–52 ind hectare?1) in 2000. Alternatively, a habitat effect was detected during a limited survey conducted in 2001, with density higher on the shell bank than inshore or offshore mud habitat. Postsettlement red snapper were first detected at approximately 16 mm standard length, and individuals less than 20 mm were present in all habitats. Estimated ages of red snapper ranged from 26 to 121 d, with new settlers (?20 mm) typically less than 28 d. Predicted hatch dates ranged from early April to mid August with a single peak occurring from late May to early June. Growth rate for the April–May cohort (0.817 mm d?1) was similar to the June–July cohort (0.830 mm d?1). Habitat-specific differences in growth were observed, and rates were highest for individuals from the inshore habitat (0.881 mm d?1). Mortality rates (Z) during the early post-settlement period were approximated using catch curves, and early life mortality of red snapper was 12.1% d?1 (<f>Z=0.129</f>). While the difference in mortality between cohorts was negligible, a habitat-specific difference in mortality was observed. Mortality rate of red snapper inhabiting the inshore mud habitat (<f>Z=0.045</f>, 4.4% d?1) was lower than rates observed for individuals on the shell bank (<f>Z=0.120</f>, 11.9% d?1) or offshore (<f>Z=0.099</f>, 9.3% d?1) habitat. Individuals residing in the inshore habitat had significantly higher growth rates and significantly lower mortality rates, suggesting that recruitment potential was higher for these individuals.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=12311606&site=ehost-live
Data Availability for Red Snapper in Gulf of Mexico and Southeastern U.S. Atlantic Ocean Waters.,"Rindone, R. Ryan; Kellison, G. Todd; Bortone, Stephen A.",North American Journal of Fisheries Management,02755947,,Apr2015,35,2,191,14,102619693,10.1080/02755947.2014.992559,Taylor & Francis Ltd,Article,"Atlantic Ocean; Mexico, Gulf of; Lutjanus campechanus; Fishery management -- United States -- Atlantic Coast; Fish surveys; Fishes -- Juvenile literature",,"Red SnapperLutjanus campechanuspopulations support (or have supported) important commercial and recreational fisheries in Gulf of Mexico and southeastern U.S. Atlantic Ocean waters. Stock assessment results and related regulatory actions are contentious in both regions. We assessed the relative availability of information to support Red Snapper assessment and management between the two regions by performing a literature review and comparing the number of region-specific, Red Snapper–focused peer-reviewed publications. One hundred and ten publications (over the period 1982–2013) were identified in this search, with 94% focused on Gulf of Mexico waters. We then assessed the available information on juvenile (?150 mm total length) Red Snapper. Twenty-eight peer-reviewed publications focused entirely or partially on juvenile Red Snapper in Gulf of Mexico waters. None documented the occurrence of juvenile Red Snapper in southeastern U.S. Atlantic Ocean waters. For the Gulf of Mexico, more than 50,000 records of juvenile Red Snapper were identified in a single trawl survey database. For southeastern U.S. Atlantic Ocean waters, a comprehensive search of fishery-independent survey databases (totaling >75,000 individual gear deployments and occurring across the range of habitats, depths, and seasons in which juvenile Red Snapper were collected in the Gulf of Mexico trawl survey) and institutional collections identified only 132 records of juvenile Red Snapper. These results highlight the need for additional information on Red Snapper in southeastern U.S. Atlantic Ocean waters and on the connectivity between Gulf of Mexico and southeastern U.S. Atlantic Ocean Red Snapper populations to support Red Snapper population assessment and fishery management. Received August 6, 2014; accepted November 13, 2014",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=102619693&site=ehost-live
Delineation of Essential Habitat for Juvenile Red Snapper in the Northwestern Gulf of Mexico.,"Gallaway, Benny J.; Cole, John G.; Meyer, Robert; Roscigno, Pasquale",Transactions of the American Fisheries Society,00028487,,Jul1999,128,4,713,14,54469812,10.1577/1548-8659(1999)128<0713:DOEHFJ>2.0.CO;2,Taylor & Francis Ltd,Article,,,"Seasonal habitat suitability index models were developed for juvenile red snapper Lutjanus campechanus in the western Gulf of Mexico. Habitat factors considered in the analysis included water temperature, salinity, and dissolved oxygen at the bottom; depth and density of offshore petroleum platforms; and low-relief bottom structures. High-value habitat for juvenile red snapper is characterized by depths between 18 and 64 m, water temperatures of 24-26°C, salinities around 35%, and dissolved oxygen levels of at least 5 mg/L. Density of low-relief structures was not a significant habitat element, and an inverse association was found between juvenile red snapper abundance and the density of offshore platforms. Results of the model analysis suggest that the step-like expansion of the hypoxic area (dissolved oxygen ? 2 mg/L) offshore of the mouth of the Mississippi River and west to the Louisiana-Texas border, which first occurred in 1993, has reduced habitat carrying capacity for juvenile red snapper in this region by up to 25%, averaging 19%. This environmental change may limit the level to which overfished Gulf red snapper stocks can be rebuilt to historical levels.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=54469812&site=ehost-live
