Title,Authors
Proaction versus Reaction: Integrating Applied Athropology into Fishery Management,"Dyer, Christopher L"
Marine Reserves for Fisheries Management,"Holland, Daniel S;Brazee, Richard J"
Rov technologies and utilization by the science community,"Auster, Peter J"
"Movement of Red Snapper, Lutjanus campechanus, in the North Central Gulf of Mexico: Potential Effects of Hurricanes","Watterson, J C;Patterson, WF III;Shipp, R L;Cowan, JH Jr"
Reduction of Juvenile Red Snapper Bycatch in the U.S. Gulf of Mexico Shrimp Trawl Fishery,"Gallaway, B J;Cole, J G"
"Microsatellite variation, effective population size, and population genetic structure of vermilion snapper, Rhomboplites aurorubens, off the southeastern USA","Bagley, M J;Lindquist, D G;Geller, J B"
Use of bomb radiocarbon to validate otolith section ages of red snapper Lutjanus campechanus from the northern Gulf of Mexico,"Baker, Scott M, Jr;Wilson, Charles A"
Red snapper recruitment to and disappearance from oil and gas platforms in the Northern Gulf of Mexico,"Nieland, D L;Wilson, CA"
Site fidelity and dispersion of red snapper associated with artificial reefs in the northern Gulf of Mexico,"Patterson, W F;Cowan, J H"
"DATA, MODELS, AND DECISIONS IN U.S. MARINE FISHERIES MANAGEMENT: Lessons for Ecologists","Rose, Kenneth A;Cowan, James H, Jr"
Establishing Marine Reserves: How Can Science Best Inform Policy?,"Bergen, Lydia K;Carr, Mark H"
"Genetic structure of camouflage grouper, Epinephelus polyphekadion (Pisces: Serranidae), in the western central Pacific","Rhodes, K L;Lewis, R I;Chapman, R W;et al"
Implications of life-history invariants for biological referencce points used in fishery management,"Williams, Erik H;Shertzer, Kyle W"
Doubts swirl around plan to use rigs as reefs,"Mason, Betsy"
A Conceptual View of Environment-Habitat-Production Linkages in Tidal River Estuaries,"Peterson, Mark S"
Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, J R;Landry, A Jr;Geary, B W;Harper, JA"
"Population genetic analysis of red grouper, Epinephelus morio, and scamp, Mycteroperca phenax, from the southeastern U.S. Atlantic and Gulf of Mexico","Zatcoff, M S;Ball, A O;Sedberry, G R"
The Impact of United States Recreational Fisheries on Marine Fish Populations,"Coleman, Felicia C;Figueira, Will F;Ueland, Jeffrey S;Crowder, Larry B"
Linking Predator and Prey Species Dynamics in Deep-Water Reefs of the Northeastern Gulf Of Mexico,"Thurman, P E;Dennis, G;Sulak, K;McBride, R S"
Living with the Curse of Dimensionality: Closed-Loop Optimization in a Large-Scale Fisheries Simulation Model,"Woodward, Richard T;Wui, Yong-Suhk;Griffin, Wade L"
Epizootics and Disease of Coral Reef Fish in the Tropical Western Atlantic and Gulf of Mexico,"Panek, Frank M"
The Recreational Fisher's Perspective/Response,"Nussman, Michael;Coleman, Felicia C;Figueira, Will F;Ueland, Jeffrey S;Crowder, Larry B"
Renewable Resources at Stake: Barataria-Terrebonne Estuarine System in Southeast Louisiana,"Lindstedt, Dianne M"
Age validation of canary rockfish (Sebastes pinniger) from off the Oregon coast (USA) using the bomb radiocarbon method,"Piner, Kevin R;Hamel, Owen S;Menkel, Jennifer L;Wallace, John R;Hutchinson, Charles E"
Historical population demography of red snapper (Lutjanus campechanus) from the northern Gulf of Mexico based on analysis of sequences of mitochondrial DNA,"Pruett, Christin L;Saillant, Eric;Gold, John R"
Physiological Effects of Swim Bladder Overexpansion and Catastrophic Decompression on Red Snapper,"Rummer, Jodie L;Bennett, Wayne A"
Effectiveness of marine reserves for large-scale fisheries management,"Smith, Martin D;Zhang, Junjie;Coleman, Felicia C"
A stochastic approach to stock reduction analysis,"Walters, Carl J;Martell, Steven J D;Korman, Josh"
"Feeding Periodicity and Prey Habitat Preference of Red Snapper, Lutjanus campechanus (Poey, 1860), on Alabama Artificial Reefs","McCawley, J R;Cowan, JH Jr;Shipp, R L"
"Understanding the Complexity of Catch-and-Release in Recreational Fishing: An Integrative Synthesis of Global Knowledge from Historical, Ethical, Social, and Biological Perspectives","Arlinghaus, Robert;Cooke, Steven J;Lyman, Jon;Policansky, David;et al"
Modeling the Dependence of Batch Fecundity on Size and Age for Use in Stock Assessments of Red Snapper in U.S. Gulf of Mexico Waters,"Porch, CE;Fitzhugh, G R;Duncan;Collins, LA;Jackson, M W"
Indices of Larval Red Snapper Occurrence and Abundance for Use in Stock Assessment,"Hanisko, D S;Lyczkowski-Shultz, J;Ingram, G W"
Fisheries Management and Conservation Overview,"Cowan, JH Jr"
Red Snapper in the Northern Gulf of Mexico: Age and Size Composition of the Commercial Harvest and Mortality of Regulatory Discards,"Nieland, D L;Fischer, A J;Baker, Jr;Wilson, CA III"
An Overview of Age and Growth of Red Snapper in the Gulf of Mexico,"Fischer, A J"
Population Dynamics and Structure Overview,"Nieland, D L"
Rebuilding Red Snapper: Recent Management Activities and Future Management Challenges,"Strelcheck, A J;Hood, P B"
An Assessment of the Red Snapper Fishery in the U.S. Gulf of Mexico Using a Spatially-Explicit Age-Structured Model,"Porch, CE"
Factors Affecting Catch and Release (CAR) Mortality in Fish: Insight into CAR Mortality in Red Snapper and the Influence of Catastrophic Decompression,"Rummer, J L"
Seasonal and Size Specific Diet and Prey Demand of Red Snapper on Alabama Artificial Reefs,"McCawley, J R;Cowan, JH Jr"
Effects of habitat complexity and predator exclusion on the abundance of juvenile red snapper,"Piko, A A;Szedlmayer, ST"
Estimation of Potential Impacts from Offshore Liquefied Natural Gas Terminals on Red Snapper and Red Drum Fisheries in the Gulf of Mexico: An Alternative Approach,"Gallaway, Benny J;Gazey, William J;Cole, John G;Fechhelm, Robert G"
"Characterization of local populations of the common sole Solea solea (Pisces, Soleidae) in the NW Mediterranean through otolith morphometrics and shape analysis","Bastien Mérigot;Letourneur, Yves;Lecomte-Finiger, Raymonde"
"TASA DE CRECIMIENTO EN LARVAS DE Sardinella aurita VALENCIENNES, 1847 (PISCES: CLUPEIDAE) DEL MORRO DE PUERTO SANTO, VENEZUELA","María Alejandra Balza;Lemus, Mairin;Baumar Marín"
Is Adaptive Management Helping to Solve Fisheries Problems?,"Walters, Carl J"
"Seasonal, diel, and tidal movements of green jobfish (Aprion virescens, Lutjanidae) at remote Hawaiian atolls: implications for marine protected area design","Meyer, Carl G;Papastamatiou, Yannis P;Holland, Kim N"
Beyond Bambi: Toward a Dangerous Ecocriticism in Theatre Studies,"May, Theresa J"
An Ecosim Model for Exploring Gulf of Mexico Ecosystem Management Options: Implications of Including Multistanza Life-History Models for Policy Predictions,"Walters, Carl;Martell, Steven J D;Christensen, Villy;Mahmoudi, Behzad"
The impact of the 1997-1999 warm-SST and low-productivity episode on fisheries in the southwestern Gulf of Mexico,"Manzano-sarabia, M;Salinas-zavala, C A;Kahru, M;Lluch-cota, S E;González-becerril, A"
"Age Composition, Growth, and Density-Dependent Mortality in Juvenile Red Snapper Estimated from Observer Data from the Gulf of Mexico Penaeid Shrimp Fishery","Gazey, William J;Gallaway, Benny J;Cole, John G;Fournier, David A"
"Seasonality, lunar periodicity of settlement and microhabitat association of juvenile humpback red snapper Lutjanus gibbus (Lutjanidae) in an Okinawan coral reef","Nanami, Atsushi;Yamada, Hideaki"
"Winter food utilisation by sympatric mysids in the Baltic Sea, studied by combined gut content and stable isotope analyses","Lehtiniemi, Maiju;Kiljunen, Mikko;Jones, Roger I"
Fish assemblage structure on a drowned barrier island in the northwestern Gulf of Mexico,"Wells, R J; David;Harper, J O;Rooker, J R;Landry, A M;Dellapenna, T M"
Conservation Genetics of Gray Snapper (Lutjanus griseus) in U.S. Waters of the Northern Gulf of Mexico and Western Atlantic Ocean,"Gold, John R;Saillant, Eric;Ebelt, N Danielle;Lem, Siya"
Nutrient enrichment and fisheries exploitation: interactive effects on estuarine living resources and their management,"Breitburg, D L;Craig, J K;Fulford, R S;Rose, K A;Boynton, W R;Brady, D C;Ciotti, B J;Diaz, R J;Friedland, K D;Hagy, J D;Hart, D R;Hines, A H;Houde, E D;Kolesar, S E;Nixon, S W;Rice, J A;Secor, D H;Targett, T E"
"Elasmobranchs in southern Indonesian fisheries: the fisheries, the status of the stocks and management options","Blaber, S J; M;Dichmont, C M;White, W;Buckworth, R;Sadiyah, L;Iskandar, B;Nurhakim, S;Pillans, R;Andamari, R;Dharmadi;Fahmi"
Molecular identification methods of fish species: reassessment and possible applications,"Teletchea, Fabrice"
