Title,Authors
Reef structure and reef function: Engineering and materials considerations for artificial reef design,"Blancher, EC II;Jones, B G;Greene, R E"
"Movement and growth of red snapper, Lutjanus campechanus, from an artificial reef area in the northeastern Gulf of Mexico","Szedlmayer, ST;Shipp, R L"
Proaction versus Reaction: Integrating Applied Athropology into Fishery Management,"Dyer, Christopher L"
Where have all the fishes gone?,"Safina, Carl"
Factors associated with artificial-reef fish assemblages,"Bortone, SA;Turpin, R K;Cody, R C;Bundrick, C M;Hill, R L"
Rov technologies and utilization by the science community,"Auster, Peter J"
"Ultrasonic telemetry of red snapper, Lutjanus campechanus, at artificial reef sites in the northeast Gulf of Mexico","Szedlmayer, ST"
"Nursery habitats, growth rates, and seasonality of age-0 red snapper, Lutjanus campechanus, in the northeast Gulf of Mexico","Szedlmayer, ST;Conti, J"
Delineation of Essential Habitat for Juvenile Red Snapper in the Northwestern Gulf of Mexico,"Gallaway, B J;Cole, J G;Meyer, R;Roscigno, P"
The behavioral response of juvenile red snapper (Lutjanus campechanus) to shrimp trawls that utilize water flow modifications to induce escapement,"Arill Engaas;Foster, Daniel;Bret Dominy Hataway;Watson, John W;Workman, Ian"
"Microsatellite variation, effective population size, and population genetic structure of vermilion snapper, Rhomboplites aurorubens, off the southeastern USA","Bagley, M J;Lindquist, D G;Geller, J B"
Can marine protected areas restore and conserve stock attributes of reef fishes?,"Trexler, J C;Travis, J"
"Age and growth of red snapper, Lutjanus campechanus, from an artificial reef area off Alabama in the northern Gulf of Mexico","Patterson, WF III;Cowan, JH Jr;Wilson, CA;Shipp, R L"
Experimental Evaluation of Potential Effects of Habitat Size and Presence of Conspecifics on Habitat Association by Young-of-the-Year Red Snapper,"Bailey, HK IV;Cowan, JH Jr;Shipp, R L"
Annotated list of fishes reported from the marine waters of New York,"Briggs, Philip T;Waldman, John R"
Pre- and post-hurricane assessment of artificial reefs: evidence for potential use as refugia in a fishery management strategy,"Turpin, R K;Bortone, SA"
Seasonal and spatial variation in the biomass and size frequency distribution of fish associated with oil and gas platforms in the northern Gulf of Mexico,"Stanley;Wilson, CA"
Fish assemblages around oil and gas platforms in the northeastern Gulf of Mexico: Developing a survey design,"Rademacher, K R;Render, J H"
Red snapper recruitment to and disappearance from oil and gas platforms in the Northern Gulf of Mexico,"Nieland, D L;Wilson, CA"
Site fidelity and dispersion of red snapper associated with artificial reefs in the northern Gulf of Mexico,"Patterson, W F;Cowan, J H"
Establishing Marine Reserves: How Can Science Best Inform Policy?,"Bergen, Lydia K;Carr, Mark H"
"Genetic structure of camouflage grouper, Epinephelus polyphekadion (Pisces: Serranidae), in the western central Pacific","Rhodes, K L;Lewis, R I;Chapman, R W;et al"
Growth of young armoured catfish Megalechis thoracata in neotropical swamps and a rain-forest creek as revealed by daily micro-increments in otoliths,"Mol, J H;Ponton, D"
Implications of life-history invariants for biological referencce points used in fishery management,"Williams, Erik H;Shertzer, Kyle W"
The continued danger of overfishing,"Safina, Carl"
Doubts swirl around plan to use rigs as reefs,"Mason, Betsy"
Diel Feeding Patterns of Red Snapper on Artificial Reefs in the North-Central Gulf of Mexico,"Szedlmayer, Stephen T"
A Conceptual View of Environment-Habitat-Production Linkages in Tidal River Estuaries,"Peterson, Mark S"
Radiocarbon in otoliths of yelloweye rockfish (Sebastes ruberrimus): a reference time series for the coastal waters of southeast Alaska,"Kerr, Lisa A;Andrews, Allen H;Frantz, Brian R;Coale, Kenneth H;et al"
Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, J R;Landry, A Jr;Geary, B W;Harper, JA"
Diet shifts of juvenile red snapper (Lutjanus campechanus) with changes in habitat and fish size,"Szedlmayer, ST;Lee, J D"
"Population genetic analysis of red grouper, Epinephelus morio, and scamp, Mycteroperca phenax, from the southeastern U.S. Atlantic and Gulf of Mexico","Zatcoff, M S;Ball, A O;Sedberry, G R"
The Impact of United States Recreational Fisheries on Marine Fish Populations,"Coleman, Felicia C;Figueira, Will F;Ueland, Jeffrey S;Crowder, Larry B"
