Paper_ID,StudyType,Age_class,Start_time,End_time,Season,Driver,Response_type,EffectSize_d,Sampling_method,Location,Effect_type_original,Value_original,stuff for effect size conv
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,CPUE,0.04,hook and line,29 55.00N and 87 55.50W,r,0.02,
18,Artificial Reef,Post-recruit,1998,2000,all,season,BPUE,0.12,hook and line,29 55.00N and 87 55.50W,r,0.06,
18,Artificial Reef,Post-recruit,1998,2000,all,season,CPUE,0.435,hook and line,29 55.00N and 87 55.50W,r,0.21,
18,Artificial Reef,Post-recruit,1998,2000,all,substrate,BPUE,0.04,hook and line,29 55.00N and 87 55.50W,r,0.02,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,BPUE,0.747,hook and line,29 55.00N and 87 55.50W,r,0.35,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,CPUE,0.367,hook and line,29 55.00N and 87 55.50W,r,0.18,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,CPUE,0.04,hook and line,29 55.00N and 87 55.50W,r,0.02,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,BPUE,0.06,hook and line,29 55.00N and 87 55.50W,r,0.03,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,BPUE,0.04,hook and line,29 55.00N and 87 55.50W,r,0.02,
18,Artificial Reef,Post-recruit,1998,2000,all,natural reef design,BPUE,0.06,hook and line,29 55.00N and 87 55.50W,r,0.03,
18,Artificial Reef,Post-recruit,1998,2000,all,natural reef design,CPUE,0.04,hook and line,29 55.00N and 87 55.50W,r,0.02,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Abundance (all visibilities),0.14,visual surveys,29 55.00N and 87 55.50W,r,0.07,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Abundance (visibilities > 4.5m),0.494,visual surveys,29 55.00N and 87 55.50W,r,0.24,
18,Artificial Reef,Post-recruit,1998,2000,all,season,Biomass (visibilities >4.5m),0.26,visual surveys,29 55.00N and 87 55.50W,r,0.13,
18,Artificial Reef,Post-recruit,1998,2000,all,substrate,Abundance (all visibilities),0.324,visual surveys,29 55.00N and 87 55.50W,r,0.16,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Biomass (all visibilities),0.494,visual surveys,29 55.00N and 87 55.50W,r,0.24,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Biomass (visibilities >4.5m),0.676,visual surveys,29 55.00N and 87 55.50W,r,0.32,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Biomass (all visibilities),0.161,visual surveys,29 55.00N and 87 55.50W,r,0.08,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Abundance (all visibilities),0.242,visual surveys,29 55.00N and 87 55.50W,r,0.12,
18,Artificial Reef,Post-recruit,1998,2000,all,artificial reef design,Biomass (visibilities >4.5m),0.12,visual surveys,29 55.00N and 87 55.50W,r,0.06,
