id,xmin,xmax,ymin,ymax,number_study,statistical_zone
31,-89.42327,-88.62327,30.16102,30.96102,3,12
32,-88.62327,-87.82327,30.16102,30.96102,7,11
33,-87.82327,-87.02327,30.16102,30.96102,6,10
34,-87.02327,-86.22327,30.16102,30.96102,1,9
35,-86.22327,-85.42327,30.16102,30.96102,1,8
44,-95.82327,-95.02327,29.36102,30.16102,3,18
45,-95.02327,-94.22327,29.36102,30.16102,3,18
47,-93.42327,-92.62327,29.36102,30.16102,3,17
48,-92.62327,-91.82327,29.36102,30.16102,3,16
49,-91.82327,-91.02327,29.36102,30.16102,3,15
51,-90.22327,-89.42327,29.36102,30.16102,3,12
52,-89.42327,-88.62327,29.36102,30.16102,4,12
53,-88.62327,-87.82327,29.36102,30.16102,6,11
54,-87.82327,-87.02327,29.36102,30.16102,6,10
55,-87.02327,-86.22327,29.36102,30.16102,1,9
56,-86.22327,-85.42327,29.36102,30.16102,1,8
57,-85.42327,-84.62327,29.36102,30.16102,1,8
58,-84.62327,-83.82327,29.36102,30.16102,1,7
59,-83.82327,-83.02327,29.36102,30.16102,1,7
65,-95.82327,-95.02327,28.56102,29.36102,4,19
66,-95.02327,-94.22327,28.56102,29.36102,3,19
67,-94.22327,-93.42327,28.56102,29.36102,3,18
68,-93.42327,-92.62327,28.56102,29.36102,3,17
69,-92.62327,-91.82327,28.56102,29.36102,3,16
70,-91.82327,-91.02327,28.56102,29.36102,3,15
71,-91.02327,-90.22327,28.56102,29.36102,4,14
72,-90.22327,-89.42327,28.56102,29.36102,3,13
73,-89.42327,-88.62327,28.56102,29.36102,3,13
74,-88.62327,-87.82327,28.56102,29.36102,3,11
78,-85.42327,-84.62327,28.56102,29.36102,1,8
79,-84.62327,-83.82327,28.56102,29.36102,1,6
80,-83.82327,-83.02327,28.56102,29.36102,1,6
81,-83.02327,-82.22327,28.56102,29.36102,1,6
84,-97.42327,-96.62327,27.76102,28.56102,3,20
85,-96.62327,-95.82327,27.76102,28.56102,3,20
86,-95.82327,-95.02327,27.76102,28.56102,3,20
88,-94.22327,-93.42327,27.76102,28.56102,3,18
89,-93.42327,-92.62327,27.76102,28.56102,3,17
90,-92.62327,-91.82327,27.76102,28.56102,3,16
91,-91.82327,-91.02327,27.76102,28.56102,3,15
92,-91.02327,-90.22327,27.76102,28.56102,3,14
100,-84.62327,-83.82327,27.76102,28.56102,1,6
101,-83.82327,-83.02327,27.76102,28.56102,1,6
102,-83.02327,-82.22327,27.76102,28.56102,1,6
105,-97.42327,-96.62327,26.96102,27.76102,3,20
106,-96.62327,-95.82327,26.96102,27.76102,3,20
121,-84.62327,-83.82327,26.96102,27.76102,1,5
122,-83.82327,-83.02327,26.96102,27.76102,1,5
123,-83.02327,-82.22327,26.96102,27.76102,1,5
126,-97.42327,-96.62327,26.16102,26.96102,3,21
127,-96.62327,-95.82327,26.16102,26.96102,3,21
143,-83.82327,-83.02327,26.16102,26.96102,1,4
144,-83.02327,-82.22327,26.16102,26.96102,1,4
145,-82.22327,-81.42327,26.16102,26.96102,1,4
147,-97.42327,-96.62327,25.36102,26.16102,3,21
148,-96.62327,-95.82327,25.36102,26.16102,3,21
164,-83.82327,-83.02327,25.36102,26.16102,1,3
165,-83.02327,-82.22327,25.36102,26.16102,1,3
166,-82.22327,-81.42327,25.36102,26.16102,1,3
167,-81.42327,-80.62327,25.36102,26.16102,1,3
185,-83.82327,-83.02327,24.56102,25.36102,1,2
186,-83.02327,-82.22327,24.56102,25.36102,1,2
187,-82.22327,-81.42327,24.56102,25.36102,1,1
207,-83.02327,-82.22327,23.76102,24.56102,1,2
208,-82.22327,-81.42327,23.76102,24.56102,1,1
