X.1,X,YR,STATIONID,DEPTH_SSTA,MO_DAY_YR,STAT_ZONE,TOW_NO,DECSLAT,DECSLON,MESH_SIZE,MIN_FISH,BOT_TYPE,BOT_REG,ENVREC_STATIONID,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,CHLORSURF,CHLORMID,CHLORMAX,OXYSURF,OXYMID,OXYMAX,TURBSURF,TURBMID,TURBMAX,GENUS_BGS,SPEC_BGS,SumOfCNTEXP,rscpue,bathymetry,rugosity,date,month,day,optional,PLATFORM_COUNT,Sum_Length,carbonate.pcnt,gravel.prct,mud.prct,oyst.prct,rock.prct,sand.prct,optional.1,n.art.reef,art.reef.dis
1,1,1987,53286,31.1,6/11/1987 0:00,11,NA,29.91,-88.4,1.63,59,,,53286,28.07,28.07,26.07,33.11,33.1,34.43,0.32,NA,NA,6.4,0,5.1,NA,NA,NA,LUTJANU,CAMPEC,8,0.13,-32,0,6/11/1987,6,11,TRUE,0,0,100,0,17,48,0,83,TRUE,0,0.997428762
2,2,1987,53288,31.1,6/12/1987 0:00,11,NA,29.96,-88.22,1.63,15,,,53288,27.78,27.76,26.14,34.06,34.15,34.89,0.19,NA,NA,6.4,6.4,6.2,NA,NA,NA,,,NA,0,-31,0.375,6/12/1987,6,12,TRUE,0,0,97.40000153,2,49,47,0,48,TRUE,0,0.997428762
3,3,1987,53290,23.8,6/12/1987 0:00,11,NA,30.03,-88.36,1.63,10,,,53290,28.15,28.17,26.91,33,33.06,33.85,0.3,NA,NA,6.4,6.4,4.2,NA,NA,NA,LUTJANU,CAMPEC,2,0.2,-23,1.5,6/12/1987,6,12,TRUE,0,1.123752511,96.80000305,9,51,38.79999924,2,38,TRUE,0,0.997428762
4,4,1987,53292,18.3,6/12/1987 0:00,11,NA,30.13,-88.3,1.63,14,,,53292,28.23,28.23,28.25,32.83,32.88,32.93,0.26,NA,NA,6.1,5.9,5.9,NA,NA,NA,LUTJANU,CAMPEC,1,0.07,-20,0.75,6/12/1987,6,12,TRUE,0,9.190068097,100,8,25,20.39999962,0,66,TRUE,0,0.997428762
5,5,1987,53294,18.3,6/12/1987 0:00,11,NA,30.14,-88.24,1.63,24,,,53294,28.67,28.59,28.45,32.27,32.92,33.18,0.86,NA,NA,6.6,6.3,5.7,NA,NA,NA,,,NA,0,-19,1,6/12/1987,6,12,TRUE,0,11.37442288,61.90000153,3,23,12,3,72,TRUE,0,0.997428762
6,6,1987,53296,12.8,6/12/1987 0:00,11,NA,30.2,-88.15,1.63,31,,,53296,28.72,28.67,28.63,30.99,31.05,31.99,1.65,NA,NA,6.5,6.4,6.4,NA,NA,NA,,,NA,0,-12,0.5,6/12/1987,6,12,TRUE,0,1.088104205,19.79999924,0,99,NA,0,0,TRUE,0,0.997428762
7,7,1987,53298,29.3,6/12/1987 0:00,11,NA,29.98,-88.24,1.63,13,,,53298,28.37,27.71,27.4,33.46,34.16,34.24,0.4,NA,NA,6.4,6.4,6.3,NA,NA,NA,,,NA,0,-30,1,6/12/1987,6,12,TRUE,0,0,95.59999847,0,0,27,0,100,TRUE,0,0.997428762
8,8,1987,53301,29.3,6/12/1987 0:00,10,NA,29.95,-87.85,1.63,30,,,53301,28.08,28.04,26.8,34.04,34.07,34.19,0.22,NA,NA,6.2,6.2,5.3,NA,NA,NA,LUTJANU,CAMPEC,16,0.53,-30,0.625,6/12/1987,6,12,TRUE,0,0,100,4,0,10,0,95,TRUE,0,0.997428762
9,9,1987,53303,40.2,6/12/1987 0:00,10,NA,29.69,-87.52,1.63,11,,,53303,27.65,23.69,21.11,33.29,35.93,36.27,0.14,NA,NA,6.2,6.5,6.3,NA,NA,NA,LUTJANU,CAMPEC,3,0.27,-46,1.5,6/12/1987,6,12,TRUE,0,0,100,7,1,49.90000153,0,90,TRUE,0,0.997428762
10,10,1987,53305,29.3,6/13/1987 0:00,10,NA,30.01,-87.69,1.63,18,,,53305,27.85,27.79,26.84,33.97,34.11,34.55,0.14,NA,NA,6.4,6.4,6.1,NA,NA,NA,,,NA,0,-29,0.875,6/13/1987,6,13,TRUE,0,0,92.40000153,0,0,10,0,99,TRUE,0,0.997428762
11,11,1987,53307,18.3,6/13/1987 0:00,10,NA,30.11,-87.65,1.63,12,,,53307,28.1,28.09,27.96,33.45,34.2,34.23,0.79,NA,NA,6.5,6.3,6.3,NA,NA,NA,,,NA,0,-17,0.75,6/13/1987,6,13,TRUE,0,0,99.69999695,2,0,NA,0,96,TRUE,0,0.997428762
12,12,1987,53309,11,6/13/1987 0:00,10,NA,30.18,-87.62,1.63,17,,,53309,28.15,28.46,28.5,30.86,33.47,33.98,NA,NA,NA,6.3,NA,NA,NA,NA,NA,,,NA,0,-12,0.625,6/13/1987,6,13,TRUE,0,0,93.30000305,2,0,NA,0,96,TRUE,0,0.997428762
13,13,1987,53311,21.9,6/13/1987 0:00,10,NA,30.1,-87.6,1.63,10,,,53311,NA,NA,NA,33.84,34.06,34.27,0.34,NA,NA,6.3,6.3,6.3,NA,NA,NA,,,NA,0,-24,1.625,6/13/1987,6,13,TRUE,0,0,100,26,0,NA,0,72,TRUE,0,0.997428762
14,14,1987,53314,34.7,6/13/1987 0:00,10,NA,29.83,-87.54,1.63,10,,,53314,27.41,27.26,21.85,34.3,35.18,35.83,0.15,NA,NA,6.3,6.3,6.4,NA,NA,NA,,,NA,0,-39,1,6/13/1987,6,13,TRUE,0,0,100,19,0,33.40000153,0,79,TRUE,0,0.997428762
15,15,1987,53319,45.7,6/13/1987 0:00,10,NA,29.54,-87.79,1.63,51,,,53319,27.34,20.9,19.2,33.47,35.8,36.23,0.16,NA,NA,6.3,6.3,4.8,NA,NA,NA,,,NA,0,-47,1,6/13/1987,6,13,TRUE,0,0,57.29999924,0,1,30.29999924,26,97,TRUE,0,0.997428762
16,16,1987,53333,45.7,6/14/1987 0:00,10,NA,29.52,-87.9,1.63,54,,,53333,27.42,21.12,19.3,33.89,35.81,36.26,0.17,NA,NA,6.4,6.8,5.2,NA,NA,NA,,,NA,0,-44,1,6/14/1987,6,14,TRUE,0,0,48.79999924,98,0,24.39999962,0,0,TRUE,0,0.997428762
17,17,1987,53336,23.8,6/14/1987 0:00,11,NA,29.61,-88.56,1.63,10,,,53336,27.56,27.2,25.38,30.73,32.84,34.45,0.33,NA,NA,6.4,6.3,5.4,NA,NA,NA,LUTJANU,CAMPEC,2,0.2,-29,1.75,6/14/1987,6,14,TRUE,0,0.236548959,51.90000153,1,61,21.39999962,1,36,TRUE,0,0.997428762
18,18,1987,53338,20.1,6/14/1987 0:00,11,NA,29.42,-88.8,1.63,10,,,53338,27.28,27.55,26.25,30.86,31.02,34.16,1.67,NA,NA,6.7,6.7,5.6,NA,NA,NA,,,NA,0,-23,1.625,6/14/1987,6,14,TRUE,0,20.91107821,47.20000076,1,94,NA,0,4,TRUE,0,0.997428762
